aide - 0.17.3
audit - 2.8.5
augeas-lenses - 1.12.0
base-files - 3.0.14
base-passwd - 3.5.29
bash - 5.0
bridge-utils - 1.6
bzip2 - 1.0.8
cdgvm-devel - 1.0
checkpolicy - 2.8
coreutils - 8.31
cpio - 2.12
curl - 7.66.0
db - 1:5.3.28
dbus - 1.12.16
dbus-lib - 1.12.16
dmidecode - 3.2
dtc - 1.5.1
e2fsprogs - 1.45.3
e2fsprogs-badblocks - 1.45.3
elfutils - 0.177
expat - 2.2.8
file - 5.37
findutils - 4.6.0
gawk - 5.0.1
gdbm - 1.18.1
gdbm-compat - 1.18.1
gettext-runtime - 0.19.8.1
glib-2.0 - 1:2.60.7
glibc - 2.30
glibc-utils - 2.30
gmp - 6.1.2
gnutls - 3.6.8
gnutls-bin - 3.6.8
grep - 3.3
gzip - 1.10
hdparm - 9.58
ifupdown - 0.8.22
ima-evm-utils - 1.2.1
initscripts - 1.0
initscripts-sushell - 1.0
ipcalc - 0.2.3
iproute2 - 5.2.0
iptables - 1.8.3
iptables-module-ebt-log - 1.8.3
iptables-module-ipt-icmp - 1.8.3
iptables-module-ipt-log - 1.8.3
iptables-module-xt-connsecmark - 1.8.3
iptables-module-xt-conntrack - 1.8.3
iptables-module-xt-iprange - 1.8.3
iptables-module-xt-limit - 1.8.3
iptables-module-xt-multiport - 1.8.3
iptables-module-xt-secmark - 1.8.3
iptables-module-xt-standard - 1.8.3
iptables-module-xt-tcp - 1.8.3
iptables-module-xt-udp - 1.8.3
iputils - s20200413
iputils-arping - s20200413
iputils-clockdiff - s20200413
iputils-ninfod - s20200413
iputils-ping - s20200413
iputils-rarpd - s20200413
iputils-rdisc - s20200413
iputils-tftpd - s20200413
iputils-tracepath - s20200413
iputils-traceroute6 - s20200413
kernel - 4.19.169
kernel-image - 4.19.169
kernel-image-bzimage - 4.19.169
kernel-module-dsbc - 4.19.169
kernel-module-ftdi-sio - 4.19.169
kernel-module-mdev - 4.19.169
kernel-module-nfs-layout-flexfiles - 4.19.169
kernel-module-pci-stub - 4.19.169
kernel-module-tmem - 4.19.169
kernel-module-vfio - 4.19.169
kernel-module-vfio-iommu-type1 - 4.19.169
kernel-module-vfio-mdev - 4.19.169
kernel-module-vfio-pci - 4.19.169
kernel-module-vfio-virqfd - 4.19.169
kernel-module-xen-privcmd - 4.19.169
kernel-modules - 4.19.169
keyutils - 1.6
kmod - 26
ldd - 2.30
less - 551
libacl - 2.2.52
libarchive - 3.4.0
libasm - 0.177
libattr - 2.4.47
libaugeas - 1.12.0
libbsd - 0.10.0
libbz2 - 1.0.8
libcap - 2.27
libcap-ng - 0.7.9
libcomerr - 1.45.3
libcrypto - 1.1.1d
libcurl - 7.66.0
libdevmapper - 2.03.05
libdw - 0.177
libe2p - 1.45.3
libelf - 0.177
libestr - 0.1.11
